Station Name,Station Number,Data Owner,Latitude,Longitude,Location
WILLBOB CREEK,219062,"NSW - Department of Planning, Industry and Environment – Water",-36.717,149.4906,NSW
WILLIAM HOVELL,403228,"VIC - Department of Environment, Land, Water and Planning",-36.90904874,146.3950117,VIC
WILLIAMS @ TILLEGRA,210011,"NSW - Department of Planning, Industry and Environment – Water",-32.3187,151.6873,NSW
WILLIAMS @ WHITEHILL,410160,"NSW - Department of Planning, Industry and Environment – Water",-34.9535,149.1886,NSW
WILLIAMS AT UNDER,210144,"NSW - Department of Planning, Industry and Environment – Water",-32.24549674,151.6056159,NSW
Williams Farm (WCWF),602016,WA - Department of Water and Environmental Regulation,-34.94158417,117.8942402,WA
WILLIAMS R @ DUNGOG,210903,"NSW - Department of Planning, Industry and Environment – Water",-32.3946,151.7606,NSW
WILLIAMS RV@GLEN MAR,210010,"NSW - Department of Planning, Industry and Environment – Water",-32.5586,151.8043,NSW
Williams_R,915211A,"QLD - Department of Regional Development, Manufacturing and Water",-20.87118333,140.8329333,QLD
WILLIMIGONGON CK,230231,"VIC - Department of Environment, Land, Water and Planning",-37.39894,144.5935,VIC
WILLIMIGONGON MACEDO,230214,"VIC - Department of Environment, Land, Water and Planning",-37.41717167,144.5868651,VIC
Willmay,603010,WA - Department of Water and Environmental Regulation,-34.63328949,117.4068363,WA
Willmay South,509500,WA - Department of Water and Environmental Regulation,-34.63463123,117.410116,WA
Willmots Farm,509065,WA - Department of Water and Environmental Regulation,-33.94220659,115.054886,WA
Willmots Farm,610001,WA - Department of Water and Environmental Regulation,-33.94220659,115.054886,WA
Willochra/Pinda Brg,A5091001,SA - Department for Environment and Water,-32.6676,138.2218,SA
Willoughby Pk Pluvio,A5040555,SA - Department for Environment and Water,-34.9801,138.5365,SA
WILLOW MCNAMARA RD,410166,"NSW - Department of Planning, Industry and Environment – Water",-34.2551,145.8739,NSW
